Friday,,"BIC21404:  S4 A
(I-rabatul)
[I-MKP-ARAS 1]",,,,"BIC21404:  S3 A
(I-rabatul) [I-MKP-ARA",,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,
"Footnote: Sections in Merge Slots
3 -  BIC21404 (I-rabatul) <FSKTM-2BIP> S3 : K, BIC21404 (I-rabatul) <FSKTM-2BIP> S4 : K, BIC21404 (I-rabatul) <FSKTM-3BIP> S3 : K
28 -  BIC21404 (I-liyap) <FSKTM-2BIS> S9 : K, BIC21404 (I-liyap) <FSKTM-3BIS> S9 : K, BIC21404 (I-zana) <FSKTM-2BIS> S1 : K, BIC21404 (I-zana) <FSKTM-2BIS> S2 : K, BIC21404 (I-zana) <FSKTM-
3BIS> S2 : K
53 -  BIC21404 (I-rsyazwani) <FSKTM-2BIM> S7 : K, BIC21404 (I-rsyazwani) <FSKTM-2BIM> S8 : K
95 -  BIC21404 (I-zana) <FSKTM-2BIS> S2 : A, BIC21404 (I-zana) <FSKTM-3BIS> S2 : A, BIC21404 (I-liyap) <FSKTM-2BIS> S9 : A, BIC21404 (I-liyap) <FSKTM-3BIS> S9 : A
147 -  BIC21404 (I-rabatul) <FSKTM-2BIP> S3 : A, BIC21404 (I-rabatul) <FSKTM-3BIP> S3 : A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Day,,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
Monday,,"BIC31502:  S2 K
(I-ezak) [I-B8-T2-GS]",,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Thursday,,"BIC31502:  S3 K
(I-ysuhaila) [I-PERP-BT1",,,,,,,,,,,,,,,,,,,,"BIC31502:  S8 K
(I-ezak)
[I-PERP-BT8-GS]",,,,,,REHAT,,,,
,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,"BIC31502:  S7 K
(I-farhan)
[I-PERP-BT8-GS]",,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
"Footnote: Sections in Merge Slots
1 -  BIC31502 (I-ezak) <FSKTM-1BIS INTAKE II> S2 : K, BIC31502 (I-ezak) <FSKTM-1BIS> S2 : K, BIC31502 (I-ezak) <FSKTM-2BIS> S1 : K, BIC31502 (I-ezak) <FSKTM-3BIS> S1 : K, BIC31502 (I-noraisah)
<FSKTM-2BIW> S5 : K
105 -  BIC31502 (I-ysuhaila) <FSKTM-2BIP> S3 : K, BIC31502 (I-ysuhaila) <FSKTM-2BIP> S4 : K, BIC31502 (I-ysuhaila) <FSKTM-3BIP> S3 : K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
